BOROUGH,longitude,latitude,Residential,Education Facility,Cultural Facility,Recreational Facility,Social Services,Transportation Facility,Commercial,Government Facility,Religious Institution,Health Services,Public Safety,Water,Miscellaneous
Manhattan,-73.94866862968297,40.83646410997056,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.94599125830572,40.84714351830459,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93144802997907,40.868987960024064,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95205544977,40.787269199997276,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99245975082489,40.76495617997425,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99104464417019,40.7676419198029,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99091787004812,40.76839902033439,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99086119997575,40.76919266724932,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97760516127056,40.771641492886204,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99733636948272,40.75871359935768,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97676336991204,40.75427006996115,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97574765972983,40.75381293992813,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9799447183113,40.76927039754482,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97382425891792,40.76692257679698,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97284405946236,40.76663485036684,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97315801987772,40.7679033400001,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97480628954857,40.769563419994995,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97864622836185,40.77077486958245,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97284431029134,40.76901779040597,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97128898949343,40.770125930275064,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97549474197997,40.77603060949813,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97107425961504,40.77369904041535,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96888794020113,40.7744876500504,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96651956951439,40.778197290139445,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96721211150005,40.78439685234912,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.9573934097908,40.789449060305024,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97167508174749,40.77870126250576,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97241420202181,40.77860418963131,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97297176148761,40.77950396007972,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96554617946265,40.77906562982379,0,0,0,0,0,1,0,0,0,0,0,0,0
